typeID,activityID,time
681,1,600
681,3,210
681,4,210
681,5,480
682,1,600
682,3,210
682,4,210
682,5,480
683,1,6000
683,3,2100
683,4,2100
683,5,4800
683,8,63900
684,1,6000
684,3,2100
684,4,2100
684,5,4800
684,8,63900
685,1,6000
685,3,2100
685,4,2100
685,5,4800
685,8,63900
686,1,12000
686,3,4200
686,4,4200
686,5,9600
686,8,128100
687,1,12000
687,3,4200
687,4,4200
687,5,9600
687,8,128100
688,1,18000
688,3,6300
688,4,6300
688,5,14400
688,8,192000
689,1,6000
689,3,2100
689,4,2100
689,5,4800
689,8,63900
690,1,6000
690,3,2100
690,4,2100
690,5,4800
690,8,63900
691,1,6000
691,3,2100
691,4,2100
691,5,4800
691,8,63900
692,1,12000
692,3,4200
692,4,4200
692,5,9600
692,8,128100
693,1,18000
693,3,6300
693,4,6300
693,5,14400
693,8,192000
784,1,2340
784,3,819
784,4,819
784,5,1872
785,1,900
785,3,315
785,4,315
785,5,720
785,8,13800
786,1,900
786,3,315
786,4,315
786,5,720
786,8,13800
788,1,1800
788,3,630
788,4,630
788,5,1440
788,8,30900
790,1,2700
790,3,945
790,4,945
790,5,2160
790,8,51000
803,1,900
803,3,315
803,4,315
803,5,720
803,8,68100
804,1,900
804,3,315
804,4,315
804,5,720
804,8,68100
805,1,900
805,3,315
805,4,315
805,5,720
805,8,68100
806,1,900
806,3,315
806,4,315
806,5,720
806,8,68100
807,1,600
807,3,210
807,4,210
807,5,480
807,8,45600
808,1,600
808,3,210
808,4,210
808,5,480
808,8,45600
809,1,600
809,3,210
809,4,210
809,5,480
809,8,45600
810,1,600
810,3,210
810,4,210
810,5,480
810,8,45600
811,1,300
811,3,105
811,4,105
811,5,240
811,8,22800
812,1,300
812,3,105
812,4,105
812,5,240
812,8,22800
813,1,300
813,3,105
813,4,105
813,5,240
813,8,22800
814,1,300
814,3,105
814,4,105
814,5,240
814,8,22800
819,1,900
819,3,315
819,4,315
819,5,720
819,8,13800
820,1,900
820,3,315
820,4,315
820,5,720
820,8,13800
821,1,900
821,3,315
821,4,315
821,5,720
821,8,13800
822,1,900
822,3,315
822,4,315
822,5,720
822,8,13800
823,1,900
823,3,315
823,4,315
823,5,720
823,8,13800
824,1,1800
824,3,630
824,4,630
824,5,1440
824,8,30900
825,1,1800
825,3,630
825,4,630
825,5,1440
825,8,30900
826,1,1800
826,3,630
826,4,630
826,5,1440
826,8,30900
827,1,1800
827,3,630
827,4,630
827,5,1440
827,8,30900
828,1,1800
828,3,630
828,4,630
828,5,1440
828,8,30900
829,1,2700
829,3,945
829,4,945
829,5,2160
829,8,51000
830,1,2700
830,3,945
830,4,945
830,5,2160
830,8,51000
831,1,2700
831,3,945
831,4,945
831,5,2160
831,8,51000
832,1,2700
832,3,945
832,4,945
832,5,2160
832,8,51000
833,1,2700
833,3,945
833,4,945
833,5,2160
833,8,51000
834,1,900
834,3,315
834,4,315
834,5,720
834,8,13800
835,1,900
835,3,315
835,4,315
835,5,720
835,8,13800
836,1,900
836,3,315
836,4,315
836,5,720
836,8,13800
837,1,900
837,3,315
837,4,315
837,5,720
837,8,13800
838,1,900
838,3,315
838,4,315
838,5,720
838,8,13800
839,1,1800
839,3,630
839,4,630
839,5,1440
839,8,30900
840,1,1800
840,3,630
840,4,630
840,5,1440
840,8,30900
841,1,1800
841,3,630
841,4,630
841,5,1440
841,8,30900
842,1,1800
842,3,630
842,4,630
842,5,1440
842,8,30900
843,1,1800
843,3,630
843,4,630
843,5,1440
843,8,30900
844,1,2700
844,3,945
844,4,945
844,5,2160
844,8,51000
845,1,2700
845,3,945
845,4,945
845,5,2160
845,8,51000
846,1,2700
846,3,945
846,4,945
846,5,2160
846,8,51000
847,1,2700
847,3,945
847,4,945
847,5,2160
847,8,51000
848,1,2700
848,3,945
848,4,945
848,5,2160
848,8,51000
879,1,300
879,3,105
879,4,105
879,5,240
879,8,22800
880,1,300
880,3,105
880,4,105
880,5,240
880,8,22800
881,1,300
881,3,105
881,4,105
881,5,240
882,1,300
882,3,105
882,4,105
882,5,240
882,8,22800
883,1,300
883,3,105
883,4,105
883,5,240
883,8,22800
884,1,300
884,3,105
884,4,105
884,5,240
885,1,300
885,3,105
885,4,105
885,5,240
886,1,300
886,3,105
886,4,105
886,5,240
887,1,600
887,3,210
887,4,210
887,5,480
887,8,45600
888,1,600
888,3,210
888,4,210
888,5,480
888,8,45600
889,1,600
889,3,210
889,4,210
889,5,480
890,1,600
890,3,210
890,4,210
890,5,480
890,8,45600
891,1,600
891,3,210
891,4,210
891,5,480
891,8,45600
892,1,600
892,3,210
892,4,210
892,5,480
893,1,600
893,3,210
893,4,210
893,5,480
894,1,600
894,3,210
894,4,210
894,5,480
895,1,900
895,3,315
895,4,315
895,5,720
895,8,68100
896,1,900
896,3,315
896,4,315
896,5,720
896,8,68100
