typeID,activityID,materialTypeID,quantity
32773,1,35,1327
32773,1,36,481
32773,1,37,113
32775,1,34,1327
32775,1,35,481
32775,1,36,113
32781,1,37,1327
32781,1,38,481
32781,1,39,228
32783,1,34,64
32783,1,36,7
32789,1,34,21071
32789,1,35,9382
32789,1,36,3127
32789,1,37,590
32789,1,38,2
32789,1,39,4
32789,1,40,4
32791,1,11552,556
32791,1,34,16209
32791,1,35,6872
32791,1,36,17901
32791,1,11558,111
32791,1,38,3020
32791,1,39,496
32791,1,40,28
32791,1,11399,67
32791,1,11533,56
32791,1,11534,194
32791,1,3828,56
32791,1,11544,1667
32791,1,11540,1333
32791,1,11550,17
32800,1,32799,1
32802,1,32801,1
32804,1,32803,1
32810,1,34,666
32810,1,35,502
32810,1,36,1
32810,1,37,1
32812,1,34,45636
32812,1,35,11911
32812,1,36,4932
32812,1,37,709
32812,1,38,221
32812,1,39,54
32812,1,40,16
32818,1,25592,9
32818,1,25601,18
32818,1,25604,13
32818,1,25598,22
32820,1,25593,9
32820,1,25604,13
32820,1,25598,22
32820,1,25601,18
32839,1,34,8889
32839,1,35,667
32839,1,36,222
32839,1,37,111
32841,1,34,1
32843,1,34,1
32845,1,34,1
32847,1,34,1
32849,1,34,1
32854,1,34,11111
32854,1,35,889
32854,1,36,444
32854,1,37,222
32855,1,34,15556
32855,1,35,1111
32855,1,36,667
32855,1,37,444
32858,1,34,556
32858,1,35,556
32858,1,36,167
32859,1,34,222
32859,1,35,222
32860,1,34,1111
32860,1,35,444
32861,1,34,2222
32861,1,35,1111
32862,1,34,16667
32862,1,35,11111
32863,1,34,35556
32863,1,39,72
32864,1,34,17778
32864,1,39,36
32865,1,34,4444
32865,1,39,36
32866,1,34,2222
32866,1,39,18
32867,1,34,944
32867,1,39,4
32868,1,40,44
32868,1,34,2222
32868,1,38,22
32869,1,40,112
32869,1,34,6667
32869,1,38,56
32870,1,40,222
32870,1,34,13333
32870,1,38,111
32871,1,34,16667
32871,1,35,5556
32871,1,36,556
32873,1,34,80000
32873,1,35,15000
32873,1,36,5000
32873,1,37,1000
32873,8,20410,4
32873,8,20411,4
